season,bowler,runs_conceded,balls_bowled,wickets,matches,economy,wickets_per_match
2019.0,KK Ahmed,292,222,20,9,7.89,2.22
2019.0,KMA Paul,239,180,10,8,7.97,1.25
2019.0,KV Sharma,33,17,1,1,11.65,1.0
2019.0,Kuldeep Yadav,286,202,5,9,8.5,0.56
2019.0,LH Ferguson,185,107,2,5,10.37,0.4
2019.0,LS Livingstone,13,6,0,1,13.0,0.0
2019.0,M Ashwin,257,211,5,10,7.31,0.5
2019.0,M Markande,59,37,1,3,9.57,0.33
2019.0,M Prasidh Krishna,394,260,5,11,9.09,0.45
2019.0,MJ McClenaghan,143,114,3,5,7.53,0.6
2019.0,MJ Santner,94,88,4,4,6.41,1.0
2019.0,MM Ali,169,151,7,9,6.72,0.78
2019.0,MM Sharma,27,18,1,1,9.0,1.0
2019.0,MP Stoinis,147,103,2,6,8.56,0.33
2019.0,Mandeep Singh,26,12,0,2,13.0,0.0
2019.0,Mohammad Nabi,201,175,8,8,6.89,1.0
2019.0,Mohammed Shami,477,331,22,14,8.65,1.57
2019.0,Mohammed Siraj,271,179,8,9,9.08,0.89
2019.0,Mujeeb Ur Rahman,193,123,3,5,9.41,0.6
2019.0,N Rana,73,50,3,6,8.76,0.5
2019.0,Navdeep Saini,398,293,12,12,8.15,1.0
2019.0,O Thomas,77,56,3,3,8.25,1.0
2019.0,P Negi,103,70,3,4,8.83,0.75
2019.0,P Ray Barman,56,24,0,1,14.0,0.0
2019.0,PP Chawla,405,267,10,13,9.1,0.77
2019.0,R Ashwin,400,342,17,14,7.02,1.21
2019.0,R Parag,111,78,1,6,8.54,0.17
2019.0,R Tewatia,42,39,2,3,6.46,0.67
2019.0,RA Jadeja,347,326,15,16,6.39,0.94
2019.0,RD Chahar,310,287,13,13,6.48,1.0
2019.0,Rashid Khan,396,367,19,15,6.47,1.27
2019.0,Rasikh Salam,42,27,0,1,9.33,0.0
2019.0,S Dube,8,11,0,2,4.36,0.0
2019.0,S Gopal,338,283,17,13,7.17,1.31
2019.0,S Kaul,243,169,6,7,8.63,0.86
2019.0,S Lamichhane,211,138,9,6,9.17,1.5
2019.0,S Midhun,29,13,0,1,13.38,0.0
2019.0,S Nadeem,91,54,3,3,10.11,1.0
2019.0,S Sandeep Warrier,86,73,2,3,7.07,0.67
2019.0,SC Kuggeleijn,71,50,2,2,8.52,1.0
2019.0,SE Rutherford,60,46,1,6,7.83,0.17
2019.0,SK Raina,6,6,0,1,6.0,0.0
2019.0,SL Malinga,452,280,18,12,9.69,1.5
2019.0,SM Curran,325,207,11,9,9.42,1.22
2019.0,SN Khan,6,2,0,1,18.0,0.0
2019.0,SN Thakur,285,190,9,9,9.0,1.0
2019.0,SP Narine,353,273,11,12,7.76,0.92
2019.0,STR Binny,44,43,1,5,6.14,0.2
2019.0,Sandeep Sharma,355,265,13,11,8.04,1.18
2019.0,Shakib Al Hasan,95,66,2,3,8.64,0.67
2019.0,TA Boult,163,120,5,5,8.15,1.0
2019.0,TG Southee,123,58,1,3,12.72,0.33
2019.0,UT Yadav,365,232,9,10,9.44,0.9
2019.0,V Shankar,70,52,2,5,8.08,0.4
2019.0,VR Aaron,105,68,4,4,9.26,1.0
2019.0,Washington Sundar,75,54,4,3,8.33,1.33
2019.0,Y Prithvi Raj,57,33,1,2,10.36,0.5
2019.0,YK Pathan,8,6,0,1,8.0,0.0
2019.0,YS Chahal,393,306,17,13,7.71,1.31
2020.0,A Mishra,72,61,3,3,7.08,1.0
2020.0,A Nortje,529,376,23,16,8.44,1.44
2020.0,A Zampa,92,67,2,3,8.24,0.67
2020.0,AD Russell,178,114,7,7,9.37,1.0
2020.0,AJ Tye,54,27,2,1,12.0,2.0
2020.0,AR Patel,329,308,11,15,6.41,0.73
2020.0,AS Rajpoot,206,115,2,6,10.75,0.33
2020.0,Abdul Samad,96,43,1,3,13.4,0.33
2020.0,Abhishek Sharma,92,61,2,6,9.05,0.33
2020.0,Arshdeep Singh,219,158,11,8,8.32,1.38
2020.0,Avesh Khan,42,25,0,1,10.08,0.0
2020.0,B Kumar,100,88,5,4,6.82,1.25
2020.0,BA Stokes,159,96,2,6,9.94,0.33
2020.0,Basil Thampi,46,24,1,1,11.5,1.0
