season,team,team_bowl_economy,team_bowl_wpm
2008.0,Chennai Super Kings,7.123333333333334,0.9133333333333334
2008.0,Deccan Chargers,7.503333333333333,0.7733333333333334
2008.0,Delhi Daredevils,6.756666666666667,1.5766666666666669
2008.0,Kings XI Punjab,6.95,1.0933333333333333
2008.0,Kolkata Knight Riders,6.6066666666666665,0.8066666666666666
2008.0,Mumbai Indians,6.416666666666667,1.0
2008.0,Rajasthan Royals,6.890000000000001,1.5266666666666666
2008.0,Royal Challengers Bangalore,7.273333333333333,0.8933333333333334
2009.0,Chennai Super Kings,6.203333333333333,0.8833333333333333
2009.0,Deccan Chargers,6.533333333333334,1.1733333333333333
2009.0,Delhi Daredevils,6.266666666666667,1.0066666666666666
2009.0,Kings XI Punjab,6.043333333333333,0.85
2009.0,Kolkata Knight Riders,6.53,0.8333333333333334
2009.0,Mumbai Indians,5.873333333333334,1.0966666666666667
2009.0,Rajasthan Royals,6.0633333333333335,1.3566666666666667
2009.0,Royal Challengers Bangalore,6.276666666666666,1.21
2010.0,Chennai Super Kings,6.47,1.5133333333333334
2010.0,Deccan Chargers,6.923333333333333,1.2966666666666666
2010.0,Delhi Daredevils,5.753333333333333,1.0166666666666666
2010.0,Kings XI Punjab,7.0,0.7000000000000001
2010.0,Kolkata Knight Riders,6.703333333333333,1.2766666666666666
2010.0,Mumbai Indians,6.976666666666667,1.38
2010.0,Rajasthan Royals,7.363333333333333,0.9033333333333333
2010.0,Royal Challengers Bangalore,6.91,0.94
2011.0,Chennai Super Kings,6.816666666666666,1.09
2011.0,Deccan Chargers,6.760000000000001,1.1500000000000001
2011.0,Delhi Daredevils,6.673333333333333,1.0566666666666666
2011.0,Kings XI Punjab,7.1433333333333335,0.9333333333333332
2011.0,Kochi Tuskers Kerala,6.68,1.2833333333333334
2011.0,Kolkata Knight Riders,6.273333333333333,0.9866666666666667
2011.0,Mumbai Indians,6.253333333333334,1.3166666666666667
2011.0,Pune Warriors,5.88,0.6866666666666666
2011.0,Rajasthan Royals,6.486666666666667,0.89
2011.0,Royal Challengers Bangalore,6.843333333333334,0.9166666666666666
2012.0,Chennai Super Kings,6.616666666666667,1.29
2012.0,Deccan Chargers,6.446666666666666,0.7566666666666667
2012.0,Delhi Daredevils,6.593333333333334,1.0566666666666666
2012.0,Kings XI Punjab,6.956666666666666,1.0
2012.0,Kolkata Knight Riders,5.843333333333334,1.3099999999999998
2012.0,Mumbai Indians,6.733333333333333,1.0933333333333335
2012.0,Pune Warriors,6.45,1.0666666666666667
2012.0,Rajasthan Royals,6.326666666666667,1.0933333333333333
2012.0,Royal Challengers Bangalore,6.496666666666667,1.28
2013.0,Chennai Super Kings,6.586666666666666,1.1433333333333333
2013.0,Delhi Daredevils,6.333333333333333,0.9700000000000001
2013.0,Kings XI Punjab,6.6866666666666665,0.63
2013.0,Kolkata Knight Riders,6.359999999999999,1.3566666666666667
2013.0,Mumbai Indians,6.91,1.36
2013.0,Pune Warriors,6.573333333333333,0.7666666666666666
2013.0,Rajasthan Royals,6.226666666666667,0.64
2013.0,Royal Challengers Bangalore,7.239999999999999,1.1666666666666667
2013.0,Sunrisers Hyderabad,6.136666666666667,0.93
2014.0,Chennai Super Kings,7.196666666666666,0.56
2014.0,Delhi Daredevils,7.52,0.6566666666666666
2014.0,Kings XI Punjab,7.16,1.0066666666666666
2014.0,Kolkata Knight Riders,6.746666666666667,0.9266666666666666
2014.0,Mumbai Indians,6.59,1.3433333333333335
2014.0,Rajasthan Royals,6.953333333333333,0.8833333333333333
2014.0,Royal Challengers Bangalore,7.313333333333333,0.9133333333333332
2014.0,Sunrisers Hyderabad,7.353333333333333,1.19
2015.0,Chennai Super Kings,6.669999999999999,0.9766666666666667
2015.0,Delhi Daredevils,6.963333333333334,0.9900000000000001
2015.0,Kings XI Punjab,7.3999999999999995,1.2266666666666668
2015.0,Kolkata Knight Riders,7.276666666666666,1.42
2015.0,Mumbai Indians,7.553333333333334,1.5
2015.0,Rajasthan Royals,7.256666666666667,0.9366666666666666
2015.0,Royal Challengers Bangalore,7.07,1.7700000000000002
2015.0,Sunrisers Hyderabad,7.063333333333333,1.3033333333333335
2016.0,Delhi Daredevils,7.203333333333333,0.91
2016.0,Gujarat Lions,7.603333333333333,0.8966666666666666
2016.0,Kings XI Punjab,7.489999999999999,0.9866666666666667
2016.0,Kolkata Knight Riders,6.63,0.84
2016.0,Mumbai Indians,7.22,0.93
