season,team,player,matches_played,batter,avg_runs_per_match,strike_rate
2008.0,Mumbai Indians,YV Takawale,4,YV Takawale,17.5,101.45
2008.0,Rajasthan Royals,D Salunkhe,3,D Salunkhe,11.0,137.5
2008.0,Rajasthan Royals,GC Smith,11,GC Smith,40.09,117.6
2008.0,Rajasthan Royals,Kamran Akmal,6,Kamran Akmal,21.33,164.1
2008.0,Rajasthan Royals,M Kaif,14,M Kaif,12.57,100.0
2008.0,Rajasthan Royals,M Rawat,7,M Rawat,4.86,87.18
2008.0,Rajasthan Royals,NK Patel,4,NK Patel,25.75,124.1
2008.0,Rajasthan Royals,RA Jadeja,9,RA Jadeja,15.0,125.0
2008.0,Rajasthan Royals,SA Asnodkar,9,SA Asnodkar,34.56,129.05
2008.0,Rajasthan Royals,SK Trivedi,3,SK Trivedi,1.67,41.67
2008.0,Rajasthan Royals,SK Warne,7,SK Warne,10.0,116.67
2008.0,Rajasthan Royals,SR Watson,15,SR Watson,31.47,146.58
2008.0,Rajasthan Royals,Sohail Tanvir,5,Sohail Tanvir,7.2,116.13
2008.0,Rajasthan Royals,YK Pathan,15,YK Pathan,29.0,171.94
2008.0,Royal Challengers Bangalore,A Kumble,4,A Kumble,3.25,76.47
2008.0,Royal Challengers Bangalore,B Akhil,7,B Akhil,6.57,143.75
2008.0,Royal Challengers Bangalore,B Chipli,3,B Chipli,6.67,66.67
2008.0,Royal Challengers Bangalore,CL White,8,CL White,14.25,108.57
2008.0,Royal Challengers Bangalore,J Arunkumar,3,J Arunkumar,7.67,95.83
2008.0,Royal Challengers Bangalore,JH Kallis,11,JH Kallis,18.09,105.85
2008.0,Royal Challengers Bangalore,LRPL Taylor,4,LRPL Taylor,37.25,175.29
2008.0,Royal Challengers Bangalore,MV Boucher,10,MV Boucher,22.5,124.31
2008.0,Royal Challengers Bangalore,Misbah-ul-Haq,8,Misbah-ul-Haq,14.62,142.68
2008.0,Royal Challengers Bangalore,P Kumar,12,P Kumar,9.33,112.0
2008.0,Royal Challengers Bangalore,R Dravid,14,R Dravid,26.5,124.08
2008.0,Royal Challengers Bangalore,R Vinay Kumar,4,R Vinay Kumar,6.25,89.29
2008.0,Royal Challengers Bangalore,S Chanderpaul,3,S Chanderpaul,8.33,75.76
2008.0,Royal Challengers Bangalore,SP Goswami,3,SP Goswami,27.33,95.35
2008.0,Royal Challengers Bangalore,V Kohli,12,V Kohli,13.75,98.21
2008.0,Royal Challengers Bangalore,W Jaffer,6,W Jaffer,19.17,104.55
2008.0,Royal Challengers Bangalore,Z Khan,7,Z Khan,4.86,79.07
2009.0,Chennai Super Kings,A Flintoff,3,A Flintoff,20.67,108.77
2009.0,Chennai Super Kings,JA Morkel,10,JA Morkel,9.7,132.88
2009.0,Chennai Super Kings,JDP Oram,8,JDP Oram,11.0,93.62
2009.0,Chennai Super Kings,L Balaji,3,L Balaji,1.33,40.0
2009.0,Chennai Super Kings,M Muralitharan,4,M Muralitharan,2.0,100.0
2009.0,Chennai Super Kings,M Vijay,4,M Vijay,15.0,86.96
2009.0,Chennai Super Kings,ML Hayden,12,ML Hayden,47.67,139.85
2009.0,Chennai Super Kings,MS Dhoni,13,MS Dhoni,25.54,122.96
2009.0,Chennai Super Kings,PA Patel,9,PA Patel,15.78,108.4
2009.0,Chennai Super Kings,S Badrinath,11,S Badrinath,16.09,106.63
2009.0,Chennai Super Kings,SK Raina,14,SK Raina,31.0,136.48
2009.0,Deccan Chargers,A Symonds,8,A Symonds,31.12,145.61
2009.0,Deccan Chargers,AA Bilakhia,6,AA Bilakhia,11.17,79.76
2009.0,Deccan Chargers,AC Gilchrist,16,AC Gilchrist,30.94,146.88
2009.0,Deccan Chargers,DB Ravi Teja,6,DB Ravi Teja,10.83,91.55
2009.0,Deccan Chargers,DR Smith,8,DR Smith,26.88,160.45
2009.0,Deccan Chargers,HH Gibbs,14,HH Gibbs,26.5,107.85
2009.0,Deccan Chargers,PP Ojha,4,PP Ojha,0.25,14.29
2009.0,Deccan Chargers,RG Sharma,16,RG Sharma,22.62,112.07
2009.0,Deccan Chargers,RJ Harris,5,RJ Harris,4.2,116.67
2009.0,Deccan Chargers,RP Singh,5,RP Singh,1.6,47.06
2009.0,Deccan Chargers,Shoaib Ahmed,3,Shoaib Ahmed,0.33,16.67
2009.0,Deccan Chargers,TL Suman,12,TL Suman,19.75,122.8
2009.0,Deccan Chargers,VVS Laxman,5,VVS Laxman,3.8,57.58
2009.0,Deccan Chargers,Y Venugopal Rao,12,Y Venugopal Rao,10.33,105.08
2009.0,Delhi Daredevils,A Mishra,5,A Mishra,5.2,130.0
2009.0,Delhi Daredevils,AB de Villiers,13,AB de Villiers,35.77,129.53
2009.0,Delhi Daredevils,DA Warner,7,DA Warner,23.29,118.98
2009.0,Delhi Daredevils,DL Vettori,3,DL Vettori,11.33,106.25
2009.0,Delhi Daredevils,G Gambhir,15,G Gambhir,19.07,101.06
2009.0,Delhi Daredevils,KD Karthik,13,KD Karthik,22.15,128.57
2009.0,Delhi Daredevils,M Manhas,6,M Manhas,12.5,115.38
2009.0,Delhi Daredevils,PJ Sangwan,4,PJ Sangwan,1.5,60.0
2009.0,Delhi Daredevils,R Bhatia,5,R Bhatia,1.6,44.44
2009.0,Delhi Daredevils,TM Dilshan,13,TM Dilshan,32.15,117.09
2009.0,Delhi Daredevils,V Sehwag,11,V Sehwag,18.0,135.62
2009.0,Kings XI Punjab,B Lee,4,B Lee,7.0,80.0
2009.0,Kings XI Punjab,DPMD Jayawardene,10,DPMD Jayawardene,21.9,127.33
2009.0,Kings XI Punjab,IK Pathan,12,IK Pathan,16.33,119.51
2009.0,Kings XI Punjab,K Goel,8,K Goel,15.5,88.57
